,longest_run_frac,longest_run_months,peak_width_frac,auc,frac_above_thresh,auc_frac,mean_raw,kurt,skewness,std_raw,q3_mean,n_peaks,peak_spacing_std,spectral_entropy,acf_lag12,q2_mean,seasonality,mean_peak_height,fall_slope,second_half_mean,peak_spacing_mean,decay_rate,q4_mean,acf_lag6,acf_lag1,linear_trend,first_half_mean,half_diff
hipster fashion,0.26119402985074625,70,0.1865671641791045,56.34,0.2798507462686567,0.21022388059701494,21.041044776119403,-0.060788414047479034,1.0739720323752606,26.797091935914906,0.33238805970149254,19,20.73978999143648,1.6350931021542292,0.7764713951467477,0.45164179104477614,0.001755984476769544,0.6584210526315788,-0.00569620253164557,0.19499999999999998,10.5,0.019614784752472872,0.05761194029850747,0.8828472858755853,0.9097758908673015,0.00014938776731604483,0.22582089552238807,-0.030820895522388092
MAXI dress,0.22761194029850745,61,0.24253731343283583,85.96,0.4552238805970149,0.3207462686567164,32.22761194029851,-0.37912838575261043,0.5765302848973819,25.72451032790719,0.41761194029850746,22,3.2874391607796585,2.434686908465285,0.9223478555109167,0.26940298507462684,0.20338615913019648,0.6559090909090909,-0.007826086956521741,0.49574626865671645,8.952380952380953,0.0019227813730329796,0.5738805970149254,0.44879813484304953,0.9317193726682788,0.0026518643156964844,0.14880597014925376,0.34694029850746266
Skaterfashion,0.20149253731343283,54,0.14925373134328357,63.015,0.291044776119403,0.23513059701492536,23.53731343283582,-0.0019197641928299092,0.8427786566937442,23.950090118054963,0.35074626865671643,24,9.476864675786807,1.9313862810173439,0.7477388497952484,0.3819402985074627,0.00418464454629621,0.5804166666666667,-0.005723684210526316,0.2797761194029851,7.434782608695652,0.011817526746295699,0.20880597014925376,0.8454838236057617,0.8837100958442212,0.0009604893123455856,0.19097014925373135,0.08880597014925373
streetwear,0.7238805970149254,194,0.44029850746268656,134.695,0.9776119402985075,0.5025932835820895,50.541044776119406,4.80761978651176,1.1908484305135374,11.560765562927925,0.4585074626865672,59,2.127407358491908,3.175472873713704,0.4790067989037329,0.4637313432835821,0.01979736225116191,0.5701694915254237,-0.0018352059925093632,0.4701492537313433,4.5,0.001310007878085842,0.4817910447761194,0.5246562730168417,0.6380218583133754,-0.0005967063309242197,0.5406716417910448,-0.07052238805970146
MOMJEANS,0.19029850746268656,51,0.09701492537313433,51.86,0.2462686567164179,0.19350746268656716,19.395522388059703,1.0075283216790831,1.1424734855938117,22.06842096371166,0.34805970149253734,14,2.0953597649040363,1.1217012816992806,0.8665955905292628,0.03402985074626865,0.0030330790438881008,0.5557142857142857,-0.011014492753623189,0.37089552238805973,6.384615384615385,0.022856584837991554,0.3937313432835821,0.907282913428638,0.96994487342399,0.0021342703798579465,0.017014925373134326,0.3538805970149254
TUMBLR,0.23134328358208955,62,0.19029850746268656,53.02,0.23134328358208955,0.1978358208955224,19.791044776119403,0.482585647935279,1.3908474459655074,29.722491264497737,0.6510447761194028,13,1.8408935028645437,1.2104480254067136,0.8500480633201155,0.004626865671641792,0.0007522543146877825,0.8076923076923078,-0.01,0.39350746268656717,4.666666666666667,0.034265796020094094,0.13597014925373135,0.9356462662958953,0.9777743378001724,0.001469776134988563,0.002313432835820896,0.39119402985074625
Pastelgrunge,0.14925373134328357,40,0.09701492537313433,27.005,0.1791044776119403,0.10076492537313432,10.082089552238806,3.1050499173857746,2.0581152695745373,21.99170417112301,0.24656716417910451,17,16.212938506020432,2.800674173640826,0.5752080951351284,0.13955223880597015,0.005682197332343873,0.58,-0.0072388059701492535,0.13186567164179105,10.375,0.05404396466863702,0.017164179104477612,0.7344561810940623,0.749621892122745,0.00017054363120282625,0.06977611940298507,0.06208955223880598
70sfashion,0.3283582089552239,88,0.30597014925373134,114.535,0.7761194029850746,0.4273694029850746,42.77985074626866,1.6341164745958174,0.27593268396425547,15.47892298236997,0.5077611940298508,56,1.522720488451644,3.7760095845438695,0.29375295810204843,0.34701492537313433,0.006034788398822172,0.5392857142857143,-0.016382978723404256,0.4805223880597015,4.4363636363636365,0.02502189685480297,0.4532835820895523,0.39807334349735607,0.5503406240384874,0.0003443384140240273,0.37507462686567156,0.10544776119402993
boyfriend jeans,0.5932835820895522,159,0.3656716417910448,108.86000000000001,0.5970149253731343,0.4061940298507463,40.70522388059702,-0.7112643094550153,0.05076836833261124,24.909666100700445,0.675820895522388,30,9.335343195633548,1.356734920876115,0.8697698709045526,0.3808955223880596,0.02458430091807009,0.6473333333333335,-0.004537815126050421,0.578731343283582,7.241379310344827,0.005728090107164848,0.48164179104477606,0.8747218315772807,0.9497109921009825,0.0021251029427441963,0.2353731343283582,0.3433582089552238
barbiecore,0.007462686567164179,2,0.0037313432835820895,3.4299999999999997,0.007462686567164179,0.012798507462686567,1.2835820895522387,121.70091086182242,9.957365014144543,7.348582907658045,0.0,1,0.0,4.397540011224163,0.11828160574137403,0.0,0.03261876489559144,1.0,-0.029696969696969697,0.025671641791044777,0.0,1.4609869153153794,0.051343283582089554,0.1263052933973648,0.5463459544883031,0.00021953222068929403,0.0,0.025671641791044777
