,n_points,mean_raw,std_raw,max_raw,skewness,kurt,n_peaks,mean_peak_height,max_peak_height,peak_spacing_mean,peak_spacing_std,frac_above_thresh,longest_run_months,longest_run_frac,rise_slope,fall_slope,peak_position_frac,acf_lag1,acf_lag12,still_active,second_half_mean,first_half_mean,half_diff
Cleangirl,268,8.604477611940299,19.141273159326328,100.0,2.054995613879354,3.155677110663124,10,0.5919999999999999,1.0,4.666666666666667,1.632993161855452,0.16417910447761194,35,0.13059701492537312,0.0045045045045045045,-0.014222222222222223,0.8314606741573034,0.9519626122836882,0.7557814416529262,1,0.17208955223880595,0.0,0.17208955223880595
Darkacademia,268,10.60820895522388,18.579785791976736,100.0,1.7288211840838474,2.539935074990175,11,0.509090909090909,1.0,6.1,3.047950130825634,0.14925373134328357,29,0.10820895522388059,0.004901960784313725,-0.013174603174603174,0.7640449438202247,0.9727608990042348,0.7636151409250053,0,0.21216417910447766,0.0,0.21216417910447766
Normcore,268,9.914179104477611,13.413212760742168,100.0,2.4414702747948986,9.631116427215025,6,0.5916666666666667,1.0,28.6,40.68709869233736,0.055970149253731345,11,0.041044776119402986,0.00819672131147541,-0.0054482758620689655,0.45692883895131087,0.8334372070576715,0.404904048106718,0,0.15186567164179107,0.046417910447761196,0.10544776119402988
Bikeshorts,268,16.97761194029851,12.551366945779995,100.0,1.83743797053807,8.34224822188945,6,0.48333333333333334,1.0,13.8,4.833218389437829,0.06343283582089553,5,0.018656716417910446,0.00510204081632653,-0.009718309859154929,0.7340823970037453,0.8557127127055595,0.6958099058606345,0,0.2346268656716418,0.10492537313432834,0.12970149253731345
tiedye,268,12.503731343283581,12.388758184768133,100.0,3.3421175598159256,16.712950760646315,3,0.608843537414966,1.0,34.5,20.5,0.029850746268656716,5,0.018656716417910446,0.004945855893377759,-0.01322219028456453,0.7340823970037453,0.8877106888444559,0.5380905452486581,0,0.1575540664026805,0.05680779774596406,0.10074626865671643
SKINNYJEANS,268,42.17164179104478,21.08494763350166,100.0,-0.050620669301959825,-0.32949800421335596,35,0.6102857142857143,1.0,6.4411764705882355,4.741501229572191,0.6268656716417911,134,0.5,0.0064516129032258064,-0.005803571428571429,0.5805243445692884,0.9435563235076796,0.8949840923268384,1,0.5298507462686567,0.3135820895522388,0.21626865671641787
jeggins,268,43.52238805970149,29.095241550197432,100.0,-0.28316421672937714,-1.1016647395999082,36,0.6708333333333332,1.0,5.542857142857143,1.9616735878596427,0.6604477611940298,152,0.5671641791044776,0.004975124378109453,-0.007424242424242424,0.7528089887640449,0.9664140244076913,0.8882521191941961,1,0.6568656716417911,0.21358208955223879,0.4432835820895523
INDIE,268,26.686567164179106,22.482802021169444,100.0,0.8849658982818057,-0.17014350562662228,20,0.64,1.0,5.2631578947368425,1.5842017835044642,0.3208955223880597,53,0.19776119402985073,0.024390243902439025,-0.003805309734513274,0.15355805243445692,0.8261090866752239,0.6739710647043488,0,0.12917910447761197,0.4045522388059701,-0.2753731343283581
Tumblr Grunge,268,15.097014925373134,25.887780037470073,100.0,1.8034406897632442,2.1355048963963927,10,0.6719999999999999,1.0,4.666666666666667,1.3333333333333333,0.17164179104477612,46,0.17164179104477612,0.006944444444444444,-0.008130081300813009,0.5393258426966292,0.9910078511944073,0.8208484700393779,0,0.1907462686567164,0.11119402985074626,0.07955223880597014
ripepdjeans,268,28.77238805970149,26.661302640273888,100.0,0.6464059933994722,-0.8843647738721634,24,0.6266666666666667,1.0,4.6521739130434785,1.3707724148203868,0.376865671641791,95,0.35447761194029853,0.005723270440251572,-0.007222222222222223,0.5955056179775281,0.9812220376813904,0.9030711425985756,0,0.49694029850746263,0.07850746268656716,0.41843283582089547
flaredjeans,268,19.44402985074627,23.078884874358316,100.0,1.4872850431562998,1.1852851471489316,11,0.6518181818181819,1.0,6.3,2.6851443164195103,0.24253731343283583,44,0.16417910447761194,0.0038022813688212928,-0.07500000000000001,0.9850187265917603,0.9664216445415367,0.9434466566073572,1,0.34440298507462686,0.044477611940298506,0.2999253731343283
hipster fashion,268,21.041044776119403,26.797091935914906,100.0,1.0739720323752606,-0.060788414047479034,19,0.6584210526315788,1.0,10.5,20.73978999143648,0.2798507462686567,70,0.26119402985074625,0.009174311926605505,-0.00569620253164557,0.40823970037453183,0.9097758908673015,0.7764713951467477,0,0.19499999999999998,0.22582089552238807,-0.030820895522388092
MAXI dress,268,32.22761194029851,25.72451032790719,100.0,0.5765302848973819,-0.37912838575261043,22,0.6559090909090909,1.0,8.952380952380953,3.2874391607796585,0.4552238805970149,61,0.22761194029850745,0.004098360655737705,-0.007826086956521741,0.9138576779026217,0.9317193726682788,0.9223478555109167,1,0.49574626865671645,0.14880597014925376,0.34694029850746266
Skaterfashion,268,23.53731343283582,23.950090118054963,100.0,0.8427786566937442,-0.0019197641928299092,24,0.5804166666666667,1.0,7.434782608695652,9.476864675786807,0.291044776119403,54,0.20149253731343283,0.008695652173913044,-0.005723684210526316,0.4307116104868914,0.8837100958442212,0.7477388497952484,0,0.2797761194029851,0.19097014925373135,0.08880597014925373
streetwear,268,50.541044776119406,11.560765562927925,100.0,1.1908484305135374,4.80761978651176,59,0.5701694915254237,0.99,4.5,2.127407358491908,0.9776119402985075,194,0.7238805970149254,0.0,-0.0018352059925093632,0.0,0.6380218583133754,0.4790067989037329,1,0.4701492537313433,0.5406716417910448,-0.07052238805970146
MOMJEANS,268,19.395522388059703,22.06842096371166,100.0,1.1424734855938117,1.0075283216790831,14,0.5557142857142857,1.0,6.384615384615385,2.0953597649040363,0.2462686567164179,51,0.19029850746268656,0.005050505050505051,-0.011014492753623189,0.7415730337078652,0.96994487342399,0.8665955905292628,0,0.37089552238805973,0.017014925373134326,0.3538805970149254
TUMBLR,268,19.791044776119403,29.722491264497737,100.0,1.3908474459655074,0.482585647935279,13,0.8076923076923078,1.0,4.666666666666667,1.8408935028645437,0.23134328358208955,62,0.23134328358208955,0.005847953216374269,-0.01,0.6404494382022472,0.9777743378001724,0.8500480633201155,0,0.39350746268656717,0.002313432835820896,0.39119402985074625
Pastelgrunge,268,10.082089552238806,21.99170417112301,100.0,2.0581152695745373,3.1050499173857746,17,0.58,1.0,10.375,16.212938506020432,0.1791044776119403,40,0.14925373134328357,0.007518796992481203,-0.0072388059701492535,0.49812734082397003,0.749621892122745,0.5752080951351284,0,0.13186567164179105,0.06977611940298507,0.06208955223880598
70sfashion,268,42.77985074626866,15.47892298236997,100.0,0.27593268396425547,1.6341164745958174,56,0.5392857142857143,1.0,4.4363636363636365,1.522720488451644,0.7761194029850746,88,0.3283582089552239,0.004545454545454545,-0.016382978723404256,0.8239700374531835,0.5503406240384874,0.29375295810204843,0,0.4805223880597015,0.37507462686567156,0.10544776119402993
boyfriend jeans,268,40.70522388059702,24.909666100700445,100.0,0.05076836833261124,-0.7112643094550153,30,0.6473333333333335,1.0,7.241379310344827,9.335343195633548,0.5970149253731343,159,0.5932835820895522,0.006756756756756757,-0.004537815126050421,0.5543071161048689,0.9497109921009825,0.8697698709045526,1,0.578731343283582,0.2353731343283582,0.3433582089552238
barbiecore,268,1.2835820895522387,7.348582907658045,100.0,9.957365014144543,121.70091086182242,1,1.0,1.0,0.0,0.0,0.007462686567164179,2,0.007462686567164179,0.004273504273504274,-0.029696969696969697,0.8764044943820225,0.5463459544883031,0.11828160574137403,0,0.025671641791044777,0.0,0.025671641791044777
officesiren,268,3.5671641791044775,12.43397353738012,100.0,4.732101977308807,25.845334756532562,2,0.7,1.0,7.0,0.0,0.026119402985074626,6,0.022388059701492536,0.004048582995951417,-0.043,0.9250936329588015,0.9365136526269895,0.333170143610632,0,0.07014925373134329,0.0011940298507462687,0.06895522388059702
softgirlaesthetic,268,6.2164179104477615,15.784633534718216,100.0,3.180282897688262,10.793571200055979,5,0.6559999999999999,1.0,4.0,0.7071067811865476,0.06716417910447761,18,0.06716417910447761,0.004901960784313725,-0.015079365079365078,0.7640449438202247,0.944610227202442,0.5399767521625158,0,0.12432835820895523,0.0,0.12432835820895523
SCENEFASHION,268,12.865671641791044,11.826665446932767,100.0,2.671574934476821,13.016436998012558,7,0.5471428571428572,1.0,43.666666666666664,71.02268808079727,0.055970149253731345,5,0.018656716417910446,0.3333333333333333,-0.0033333333333333335,0.011235955056179775,0.41281589928803114,0.324277490559589,0,0.09626865671641792,0.16104477611940302,-0.0647761194029851
chunkyshoes,268,11.85820895522388,16.59421450389002,100.0,1.1982645492033543,1.6090333021040717,15,0.4233333333333334,1.0,5.928571428571429,2.2188892238584383,0.13432835820895522,9,0.033582089552238806,0.0037735849056603774,-0.35,0.9925093632958801,0.9343655525232529,0.9007334448154882,0,0.23716417910447762,0.0,0.23716417910447762
coastalgrandmother,268,1.6380597014925373,8.902852928420891,100.0,7.5047686088385746,66.18569013438412,1,0.59,0.59,0.0,0.0,0.014925373134328358,3,0.011194029850746268,0.003745318352059925,0.0,1.0,0.5074745568561392,0.010355111885641134,1,0.03276119402985075,0.0,0.03276119402985075
goblincore,268,10.753731343283581,19.485906337108617,100.0,1.7455958840458083,2.4057461387105743,16,0.54875,1.0,4.4,1.7435595774162693,0.16791044776119404,35,0.13059701492537312,0.004739336492890996,-0.01482142857142857,0.7902621722846442,0.9233301634161349,0.7789438927718332,0,0.21507462686567164,0.0,0.21507462686567164
vsco,268,3.970149253731343,9.409776036248163,100.0,7.272571180850986,61.33628761755135,1,1.0,1.0,0.0,0.0,0.014925373134328358,4,0.014925373134328358,0.005319148936170213,-0.01240506329113924,0.704119850187266,0.8857924550221897,0.15180951530377648,0,0.07440298507462685,0.005000000000000001,0.06940298507462685
ivyleague,268,0.9067164179104478,8.787853708396506,100.0,10.510043211078461,111.8595299415913,3,0.7833333333333333,1.0,54.0,44.0,0.011194029850746268,1,0.0037313432835820895,0.012195121951219513,-0.004972972972972973,0.30711610486891383,-0.010346694410197038,-0.01079608120739758,0,0.0034328358208955225,0.014701492537313433,-0.011268656716417911
bimbocore,268,8.298507462686567,9.130096083215678,100.0,5.246302115230557,40.62939717145276,1,1.0,1.0,0.0,0.0,0.014925373134328358,4,0.014925373134328358,0.019387755102040816,-0.004373177842565598,0.18726591760299627,0.7339015854433726,0.37901108436493364,0,0.032668291197075844,0.09587267742918064,-0.0632043862321048
Brat summer,268,1.2686567164179106,8.450173696973458,100.0,9.64662553970645,98.85297171591483,1,1.0,1.0,0.0,0.0,0.011194029850746268,3,0.011194029850746268,0.004048582995951417,-0.048,0.9250936329588015,0.7221962815310853,0.02754024694191606,0,0.025373134328358207,0.0,0.025373134328358207
galaxyprint,268,3.2686567164179103,6.791856602287551,100.0,10.915388508330842,150.75731400138207,1,1.0,1.0,0.0,0.0,0.0037313432835820895,1,0.0037313432835820895,0.0037735849056603774,-0.49,0.9925093632958801,0.24808787620540226,0.35593993450939826,0,0.034850746268656724,0.03052238805970149,0.0043283582089552325
blokecore,268,2.6902985074626864,9.419591915321586,100.0,5.604345680306022,44.42707587392539,2,0.74,1.0,40.0,0.0,0.007462686567164179,1,0.0037313432835820895,0.004545454545454545,-0.019148936170212766,0.8239700374531835,0.5386383643632501,0.311543422341509,0,0.05380597014925372,0.0,0.05380597014925372
BuisnessCausal,268,0.7798507462686567,6.525498549613426,100.0,13.431146615944229,197.3186091662017,1,1.0,1.0,0.0,0.0,0.0037313432835820895,1,0.0037313432835820895,0.125,-0.003629343629343629,0.0299625468164794,0.08537423142610606,-0.013241351307872537,0,0.007611940298507463,0.007985074626865672,-0.00037313432835820934
teddycoat,268,8.063432835820896,17.114618178031822,100.0,3.00440340361243,9.32924354625676,5,0.756,1.0,12.25,0.82915619758885,0.07462686567164178,5,0.018656716417910446,0.005263157894736842,-0.012727272727272728,0.7116104868913857,0.8787746063506852,0.8724588417736978,0,0.15932835820895525,0.0019402985074626867,0.15738805970149256
