,mean_raw,std_raw,max_raw,skewness,kurt,n_peaks,mean_peak_height,max_peak_height,peak_spacing_mean,peak_spacing_std,rise_slope,fall_slope,peak_position_frac,acf_lag1,acf_lag12
Pastelgrunge,10.082089552238806,21.99170417112301,100.0,2.0581152695745373,3.1050499173857746,17,0.58,1.0,10.375,16.212938506020432,0.007518796992481203,-0.0072388059701492535,0.49812734082397003,0.749621892122745,0.5752080951351284
ripepdjeans,28.77238805970149,26.661302640273888,100.0,0.6464059933994722,-0.8843647738721634,24,0.6266666666666667,1.0,4.6521739130434785,1.3707724148203868,0.005723270440251572,-0.007222222222222223,0.5955056179775281,0.9812220376813904,0.9030711425985756
Skaterfashion,23.53731343283582,23.950090118054963,100.0,0.8427786566937442,-0.0019197641928299092,24,0.5804166666666667,1.0,7.434782608695652,9.476864675786807,0.008695652173913044,-0.005723684210526316,0.4307116104868914,0.8837100958442212,0.7477388497952484
SKINNYJEANS,42.17164179104478,21.08494763350166,100.0,-0.050620669301959825,-0.32949800421335596,35,0.6102857142857143,1.0,6.4411764705882355,4.741501229572191,0.0064516129032258064,-0.005803571428571429,0.5805243445692884,0.9435563235076796,0.8949840923268384
streetwear,50.541044776119406,11.560765562927925,100.0,1.1908484305135374,4.80761978651176,59,0.5701694915254237,0.99,4.5,2.127407358491908,0.0,-0.0018352059925093632,0.0,0.6380218583133754,0.4790067989037329
Tumblr Grunge,15.097014925373134,25.887780037470073,100.0,1.8034406897632442,2.1355048963963927,10,0.6719999999999999,1.0,4.666666666666667,1.3333333333333333,0.006944444444444444,-0.008130081300813009,0.5393258426966292,0.9910078511944073,0.8208484700393779
TUMBLR,19.791044776119403,29.722491264497737,100.0,1.3908474459655074,0.482585647935279,13,0.8076923076923078,1.0,4.666666666666667,1.8408935028645437,0.005847953216374269,-0.01,0.6404494382022472,0.9777743378001724,0.8500480633201155
barbiecore,1.2835820895522387,7.348582907658045,100.0,9.957365014144543,121.70091086182242,1,1.0,1.0,0.0,0.0,0.004273504273504274,-0.029696969696969697,0.8764044943820225,0.5463459544883031,0.11828160574137403
bimbocore,8.298507462686567,9.130096083215678,100.0,5.246302115230557,40.62939717145276,1,1.0,1.0,0.0,0.0,0.019387755102040816,-0.004373177842565598,0.18726591760299627,0.7339015854433726,0.37901108436493364
blokecore,2.6902985074626864,9.419591915321586,100.0,5.604345680306022,44.42707587392539,2,0.74,1.0,40.0,0.0,0.004545454545454545,-0.019148936170212766,0.8239700374531835,0.5386383643632501,0.311543422341509
Brat summer,1.2686567164179106,8.450173696973458,100.0,9.64662553970645,98.85297171591483,1,1.0,1.0,0.0,0.0,0.004048582995951417,-0.048,0.9250936329588015,0.7221962815310853,0.02754024694191606
BuisnessCausal,0.7798507462686567,6.525498549613426,100.0,13.431146615944229,197.3186091662017,1,1.0,1.0,0.0,0.0,0.125,-0.003629343629343629,0.0299625468164794,0.08537423142610606,-0.013241351307872537
chunkyshoes,11.85820895522388,16.59421450389002,100.0,1.1982645492033543,1.6090333021040717,15,0.4233333333333334,1.0,5.928571428571429,2.2188892238584383,0.0037735849056603774,-0.35,0.9925093632958801,0.9343655525232529,0.9007334448154882
coastalgrandmother,1.6380597014925373,8.902852928420891,100.0,7.5047686088385746,66.18569013438412,1,0.59,0.59,0.0,0.0,0.003745318352059925,0.0,1.0,0.5074745568561392,0.010355111885641134
galaxyprint,3.2686567164179103,6.791856602287551,100.0,10.915388508330842,150.75731400138207,1,1.0,1.0,0.0,0.0,0.0037735849056603774,-0.49,0.9925093632958801,0.24808787620540226,0.35593993450939826
goblincore,10.753731343283581,19.485906337108617,100.0,1.7455958840458083,2.4057461387105743,16,0.54875,1.0,4.4,1.7435595774162693,0.004739336492890996,-0.01482142857142857,0.7902621722846442,0.9233301634161349,0.7789438927718332
ivyleague,0.9067164179104478,8.787853708396506,100.0,10.510043211078461,111.8595299415913,3,0.7833333333333333,1.0,54.0,44.0,0.012195121951219513,-0.004972972972972973,0.30711610486891383,-0.010346694410197038,-0.01079608120739758
officesiren,3.5671641791044775,12.43397353738012,100.0,4.732101977308807,25.845334756532562,2,0.7,1.0,7.0,0.0,0.004048582995951417,-0.043,0.9250936329588015,0.9365136526269895,0.333170143610632
SCENEFASHION,12.865671641791044,11.826665446932767,100.0,2.671574934476821,13.016436998012558,7,0.5471428571428572,1.0,43.666666666666664,71.02268808079727,0.3333333333333333,-0.0033333333333333335,0.011235955056179775,0.41281589928803114,0.324277490559589
softgirlaesthetic,6.2164179104477615,15.784633534718216,100.0,3.180282897688262,10.793571200055979,5,0.6559999999999999,1.0,4.0,0.7071067811865476,0.004901960784313725,-0.015079365079365078,0.7640449438202247,0.944610227202442,0.5399767521625158
teddycoat,8.063432835820896,17.114618178031822,100.0,3.00440340361243,9.32924354625676,5,0.756,1.0,12.25,0.82915619758885,0.005263157894736842,-0.012727272727272728,0.7116104868913857,0.8787746063506852,0.8724588417736978
vsco,3.970149253731343,9.409776036248163,100.0,7.272571180850986,61.33628761755135,1,1.0,1.0,0.0,0.0,0.005319148936170213,-0.01240506329113924,0.704119850187266,0.8857924550221897,0.15180951530377648
